-195.838165,-18.862362
-211.461456,-18.756054
-227.645386,-18.799204
-241.016922,-18.581993
-256.432129,-18.350067
-264.186646,-18.12187
-270.320038,-17.71587
-277.411591,-16.738998
-284.759247,-15.300426
-290.364105,-13.96827
-299.042511,-11.417912
-308.783691,-7.59149
-318.621552,-2.882991
-331.406952,4.892405
-339.112366,10.547535
-346.015045,16.439045
-352.539398,23.64347
-357.115692,30.486792
-362.192291,40.95293
-364.65625,48.634907
-366.325928,58.865868
-366.756714,70.792999
-367.163269,86.104637
-367.275055,99.265099
-367.153076,109.566177
